020227,"Fri Nov 12, 2010",7:00 PM ET,EDMONTON,NEW JERSEY
020228,"Fri Nov 12, 2010",7:00 PM ET,TAMPA BAY,PITTSBURGH
020229,"Fri Nov 12, 2010",7:00 PM ET,COLORADO,COLUMBUS
020230,"Fri Nov 12, 2010",7:30 PM ET,MINNESOTA,FLORIDA
020231,"Fri Nov 12, 2010",9:00 PM ET,CALGARY,PHOENIX
020232,"Fri Nov 12, 2010",10:00 PM ET,DALLAS,ANAHEIM
020233,"Sat Nov 13, 2010",7:00 PM ET,OTTAWA,BOSTON
020234,"Sat Nov 13, 2010",7:00 PM ET,WASHINGTON,BUFFALO
020235,"Sat Nov 13, 2010",7:00 PM ET,VANCOUVER,TORONTO
020236,"Sat Nov 13, 2010",7:00 PM ET,CAROLINA,MONTREAL
020237,"Sat Nov 13, 2010",7:00 PM ET,FLORIDA,PHILADELPHIA
020238,"Sat Nov 13, 2010",7:00 PM ET,PITTSBURGH,ATLANTA
020239,"Sat Nov 13, 2010",7:00 PM ET,COLORADO,DETROIT
020240,"Sat Nov 13, 2010",8:00 PM ET,CHICAGO,NASHVILLE
020241,"Sat Nov 13, 2010",8:00 PM ET,ST LOUIS,PHOENIX
020242,"Sat Nov 13, 2010",10:00 PM ET,CALGARY,SAN JOSE
020243,"Sat Nov 13, 2010",10:30 PM ET,NY ISLANDERS,LOS ANGELES
020244,"Sun Nov 14, 2010",12:30 PM ET,EDMONTON,NY RANGERS
020245,"Sun Nov 14, 2010",5:00 PM ET,ATLANTA,WASHINGTON
020246,"Sun Nov 14, 2010",5:00 PM ET,MINNESOTA,TAMPA BAY
020247,"Sun Nov 14, 2010",7:00 PM ET,ANAHEIM,CHICAGO
020248,"Mon Nov 15, 2010",7:00 PM ET,NEW JERSEY,BOSTON
020249,"Mon Nov 15, 2010",7:00 PM ET,VANCOUVER,BUFFALO
020250,"Mon Nov 15, 2010",7:00 PM ET,OTTAWA,PHILADELPHIA
020251,"Mon Nov 15, 2010",7:00 PM ET,NY RANGERS,PITTSBURGH
020252,"Mon Nov 15, 2010",8:00 PM ET,ST LOUIS,COLORADO
020253,"Mon Nov 15, 2010",10:30 PM ET,LOS ANGELES,SAN JOSE
020254,"Tue Nov 16, 2010",7:00 PM ET,NASHVILLE,TORONTO
020255,"Tue Nov 16, 2010",7:00 PM ET,PHILADELPHIA,MONTREAL
020256,"Tue Nov 16, 2010",9:00 PM ET,ANAHEIM,DALLAS
020257,"Wed Nov 17, 2010",7:00 PM ET,TAMPA BAY,NY ISLANDERS
020258,"Wed Nov 17, 2010",7:00 PM ET,BOSTON,NY RANGERS
020259,"Wed Nov 17, 2010",7:00 PM ET,VANCOUVER,PITTSBURGH
020260,"Wed Nov 17, 2010",7:00 PM ET,BUFFALO,WASHINGTON
020261,"Wed Nov 17, 2010",7:00 PM ET,OTTAWA,CAROLINA
020262,"Wed Nov 17, 2010",7:00 PM ET,FLORIDA,ATLANTA
020263,"Wed Nov 17, 2010",7:30 PM ET,ST LOUIS,DETROIT
020264,"Wed Nov 17, 2010",8:00 PM ET,ANAHEIM,MINNESOTA
020265,"Wed Nov 17, 2010",9:00 PM ET,SAN JOSE,COLORADO
020266,"Wed Nov 17, 2010",9:30 PM ET,PHOENIX,CALGARY
020267,"Wed Nov 17, 2010",9:30 PM ET,CHICAGO,EDMONTON
020268,"Wed Nov 17, 2010",10:30 PM ET,COLUMBUS,LOS ANGELES
020269,"Thu Nov 18, 2010",7:00 PM ET,FLORIDA,BOSTON
020270,"Thu Nov 18, 2010",7:00 PM ET,NEW JERSEY,TORONTO
020271,"Thu Nov 18, 2010",7:00 PM ET,TAMPA BAY,PHILADELPHIA
